User's manual r01uh0146jj0340-rl78g13; Version 1.00; June 20, 2018
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
PMC0,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC3,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC10,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC11,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC12,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC14,4. 3. 6 ポート・モード・コントロール・レジスタ（PMCxx）,図4－6ポート・モード・コントロール・レジスタのフォーマット,,,
NFEN0,12. 3. 16 ノイズ・フィルタ許可レジスタ0（NFEN0）,図12－22ノイズ・フィルタ許可レジスタ0（NFEN0）のフォーマット,,,
NFEN1,"6. 3. 14 ノイズ・フィルタ許可レジスタ1, 2（NFEN1, NFEN2）","図6－22ノイズ・フィルタ許可レジスタ1,2（NFEN1,NFEN2）のフォーマット（1/2）",,,
NFEN2,"6. 3. 14 ノイズ・フィルタ許可レジスタ1, 2（NFEN1, NFEN2）","図6－22ノイズ・フィルタ許可レジスタ1,2（NFEN1,NFEN2）のフォーマット（1/2）",,,
ISC,6. 3. 13 入力切り替え制御レジスタ（ISC）,図6－21入力切り替え制御レジスタ（ISC）のフォーマット,,タイマ・アレイ・ユニット,
ISC,12. 3. 15 入力切り替え制御レジスタ（ISC）,図12－21入力切り替え制御レジスタ（ISC）のフォーマット,,シリアル・アレイ・ユニット,
TIS0,6. 3. 8 タイマ入力選択レジスタ0（TIS0）,図6－16タイマ入力選択レジスタ0（TIS0）のフォーマット,,タイマ・アレイ・ユニット,
TIS0,22. 3. 7 周波数検出機能,図22－14タイマ入力選択レジスタ0（TIS0）のフォーマット,,安全機能,
ADPC,4. 3. 7 A/Dポート・コンフィギュレーション・レジスタ（ADPC）,図4－7A/Dポート・コンフィギュレーション・レジスタ（ADPC）のフォーマット,,,
PIOR,4. 3. 8 周辺I/Oリダイレクション・レジスタ（PIOR）,図4－8周辺I/Oリダイレクション・レジスタ（PIOR）のフォーマット,,,
IAWCTL,22. 3. 4 RAMガード機能,図22－9不正メモリ・アクセス検出制御レジスタ（IAWCTL）のフォーマット,,RAMガード機能,
IAWCTL,22. 3. 5 SFRガード機能,図22－10不正メモリ・アクセス検出制御レジスタ（IAWCTL）のフォーマット,,SFRガード機能,
IAWCTL,22. 3. 6 不正メモリ・アクセス検出機能,図22－12不正メモリ・アクセス検出制御レジスタ（IAWCTL）のフォーマット,,不正メモリ・アクセス検出機能,
GDIDIS,4. 3. 9 グローバル・デジタル・インプット・ディスエーブル・レジスタ（GDIDIS）,図4－9グローバル・デジタル・インプット・ディスエーブル・レジスタ（GDIDIS）,,,
DFLCTL,25. 8. 2 データ・フラッシュを制御するレジスタ,図25－12データ・フラッシュ・コントロール・レジスタ（DFLCTL）のフォーマット,,,
DFLEN,25. 8. 2 データ・フラッシュを制御するレジスタ,図25－12データ・フラッシュ・コントロール・レジスタ（DFLCTL）のフォーマット,2,,
HIOTRM,5. 3. 9 高速オンチップ・オシレータ・トリミング・レジスタ（HIOTRM）,図5－10高速オンチップ・オシレータ・トリミング・レジスタ（HIOTRM）のフォーマット,,,
HOCODIV,5. 3. 8 高速オンチップ・オシレータ周波数選択レジスタ（HOCODIV）,図5－9高速オンチップ・オシレータ周波数選択レジスタ（HOCODIV）のフォーマット,,,
MDCL,"14. 2. 3 乗除算データ・レジスタC（MDCL, MDCH）","図14－4乗除算データ・レジスタC（MDCH,MDCL）のフォーマット",,,
MDCH,"14. 2. 3 乗除算データ・レジスタC（MDCL, MDCH）","図14－4乗除算データ・レジスタC（MDCH,MDCL）のフォーマット",,,
MDUC,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,,,
DIVST,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,
MACSF,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,
MACOF,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,
MDSM,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,DIVMODE
MACMODE,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,DIVMODE
DIVMODE,14. 3. 1 乗除算コントロール・レジスタ0（MDUC）,図14－5乗除算コントロール・レジスタ（MDUC）のフォーマット,2,,
PER0,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（1/3）,,クロック発生回路,
TAU0EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（3/3）,2,クロック発生回路,
TAU1EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（3/3）,2,クロック発生回路,
SAU0EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（3/3）,2,クロック発生回路,
SAU1EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（2/3）,2,クロック発生回路,
IICA0EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（2/3）,2,クロック発生回路,
ADCEN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（2/3）,2,クロック発生回路,
IICA1EN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（2/3）,2,クロック発生回路,
RTCEN,5. 3. 6 周辺イネーブル・レジスタ0（PER0）,図5－7周辺イネーブル・レジスタ0（PER0）のフォーマット（1/3）,2,クロック発生回路,
PER0,6. 3. 1 周辺イネーブル・レジスタ0（PER0）,図6－9周辺イネーブル・レジスタ0（PER0）のフォーマット,,タイマ・アレイ・ユニット,
TAU0EN,6. 3. 1 周辺イネーブル・レジスタ0（PER0）,図6－9周辺イネーブル・レジスタ0（PER0）のフォーマット,2,タイマ・アレイ・ユニット,
TAU1EN,6. 3. 1 周辺イネーブル・レジスタ0（PER0）,図6－9周辺イネーブル・レジスタ0（PER0）のフォーマット,2,タイマ・アレイ・ユニット,
PER0,7. 3. 1 周辺イネーブル・レジスタ0（PER0）,図7－2周辺イネーブル・レジスタ0（PER0）のフォーマット,,リアルタイム・クロック,
RTCEN,7. 3. 1 周辺イネーブル・レジスタ0（PER0）,図7－2周辺イネーブル・レジスタ0（PER0）のフォーマット,2,リアルタイム・クロック,
PER0,8. 3. 1 周辺イネーブル・レジスタ0（PER0）,図8－2周辺イネーブル・レジスタ0（PER0）のフォーマット,,12ビット・インターバル・タイマ,
RTCEN,8. 3. 1 周辺イネーブル・レジスタ0（PER0）,図8－2周辺イネーブル・レジスタ0（PER0）のフォーマット,2,12ビット・インターバル・タイマ,
PER0,11. 3. 1 周辺イネーブル・レジスタ0（PER0）,図11－2周辺イネーブル・レジスタ0（PER0）のフォーマット,,A/Dコンバータ,
ADCEN,11. 3. 1 周辺イネーブル・レジスタ0（PER0）,図11－2周辺イネーブル・レジスタ0（PER0）のフォーマット,2,A/Dコンバータ,
PER0,12. 3. 1 周辺イネーブル・レジスタ0（PER0）,図12－5周辺イネーブル・レジスタ0（PER0）のフォーマット,,シリアル・アレイ・ユニット,
SAU0EN,12. 3. 1 周辺イネーブル・レジスタ0（PER0）,図12－5周辺イネーブル・レジスタ0（PER0）のフォーマット,1,シリアル・アレイ・ユニット,SAUmEN
SAU1EN,12. 3. 1 周辺イネーブル・レジスタ0（PER0）,図12－5周辺イネーブル・レジスタ0（PER0）のフォーマット,1,シリアル・アレイ・ユニット,SAUmEN
PER0,13. 3. 1 周辺イネーブル・レジスタ0（PER0）,図13－5周辺イネーブル・レジスタ0（PER0）のフォーマット,,シリアル・インタフェースIICA,
IICA0EN,13. 3. 1 周辺イネーブル・レジスタ0（PER0）,図13－5周辺イネーブル・レジスタ0（PER0）のフォーマット,1,シリアル・インタフェースIICA,IICAnEN
IICA1EN,13. 3. 1 周辺イネーブル・レジスタ0（PER0）,図13－5周辺イネーブル・レジスタ0（PER0）のフォーマット,1,シリアル・インタフェースIICA,IICAnEN
OSMC,5. 3. 7 サブシステム・クロック供給モード制御レジスタ（OSMC）,図5－8サブシステム・クロック供給モード制御レジスタ（OSMC）のフォーマット,,クロック発生回路,
OSMC,7. 3. 2 サブシステム・クロック供給モード制御レジスタ（OSMC）,図7－3サブシステム・クロック供給モード制御レジスタ（OSMC）のフォーマット,,リアルタイム・クロック,
OSMC,8. 3. 2 サブシステム・クロック供給モード制御レジスタ（OSMC）,図8－3サブシステム・クロック供給モード制御レジスタ（OSMC）のフォーマット,,12ビット・インターバル・タイマ,
RPECTL,22. 3. 3 RAMパリティ・エラー検出機能,図22－7RAMパリティ・エラー制御レジスタ（RPECTL）のフォーマット,,,
RPEF,22. 3. 3 RAMパリティ・エラー検出機能,図22－7RAMパリティ・エラー制御レジスタ（RPECTL）のフォーマット,2,,
RPERDIS,22. 3. 3 RAMパリティ・エラー検出機能,図22－7RAMパリティ・エラー制御レジスタ（RPECTL）のフォーマット,2,,
BCDADJ,27. 2. 1 BCD補正結果レジスタ（BCDADJ）,図27－1BCD補正結果レジスタ（BCDADJ）のフォーマット,,,
SSR00,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR00L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR01,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR01L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR02,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR02L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR03,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR03L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SIR00,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR00L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR01,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR01L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR02,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR02L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR03,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR03L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SMR00,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR01,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR02,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR03,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SCR00,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR01,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR02,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR03,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SE0,12. 3. 10 シリアル・チャネル許可ステータス・レジスタm（SEm）,図12－14シリアル・チャネル許可ステータス・レジスタm（SEm）のフォーマット,,,
SE0L,12. 3. 10 シリアル・チャネル許可ステータス・レジスタm（SEm）,図12－14シリアル・チャネル許可ステータス・レジスタm（SEm）のフォーマット,,,
SS0,12. 3. 8 シリアル・チャネル開始レジスタm（SSm）,図12－12シリアル・チャネル開始レジスタm（SSm）のフォーマット,,,
SS0L,12. 3. 8 シリアル・チャネル開始レジスタm（SSm）,図12－12シリアル・チャネル開始レジスタm（SSm）のフォーマット,,,
ST0,12. 3. 9 シリアル・チャネル停止レジスタm（STm）,図12－13シリアル・チャネル停止レジスタm（STm）のフォーマット,,,
ST0L,12. 3. 9 シリアル・チャネル停止レジスタm（STm）,図12－13シリアル・チャネル停止レジスタm（STm）のフォーマット,,,
SPS0,12. 3. 2 シリアル・クロック選択レジスタm（SPSm）,図12－6シリアル・クロック選択レジスタm（SPSm）のフォーマット,,,
SPS0L,12. 3. 2 シリアル・クロック選択レジスタm（SPSm）,図12－6シリアル・クロック選択レジスタm（SPSm）のフォーマット,,,
SO0,12. 3. 12 シリアル出力レジスタm（SOm）,図12－16シリアル出力レジスタm（SOm）のフォーマット,,,
SOE0,12. 3. 11 シリアル出力許可レジスタm（SOEm）,図12－15シリアル出力許可レジスタm（SOEm）のフォーマット,,,
SOE0L,12. 3. 11 シリアル出力許可レジスタm（SOEm）,図12－15シリアル出力許可レジスタm（SOEm）のフォーマット,,,
SOL0,12. 3. 13 シリアル出力レベル・レジスタm（SOLm）,図12－17シリアル出力レベル・レジスタm（SOLm）のフォーマット,,,
SOL0L,12. 3. 13 シリアル出力レベル・レジスタm（SOLm）,図12－17シリアル出力レベル・レジスタm（SOLm）のフォーマット,,,
SSC0,12. 3. 14 シリアル・スタンバイ・コントロール・レジスタm（SSCm）,図12－19シリアル・スタンバイ・コントロール・レジスタm（SSCm）のフォーマット,,,
SSC0L,12. 3. 14 シリアル・スタンバイ・コントロール・レジスタm（SSCm）,図12－19シリアル・スタンバイ・コントロール・レジスタm（SSCm）のフォーマット,,,
SSR10,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR10L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR11,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR11L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR12,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR12L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR13,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SSR13L,12. 3. 7 シリアル・ステータス・レジスタmn（SSRmn）,図12－11シリアル・ステータス・レジスタmn（SSRmn）のフォーマット（1/2）,,,
SIR10,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR10L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR11,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR11L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR12,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR12L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR13,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SIR13L,12. 3. 6 シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）,図12－10シリアル・フラグ・クリア・トリガ・レジスタmn（SIRmn）のフォーマット,,,
SMR10,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR11,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR12,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SMR13,12. 3. 3 シリアル・モード・レジスタmn（SMRmn）,図12－7シリアル・モード・レジスタmn（SMRmn）のフォーマット（1/2）,,,
SCR10,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR11,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR12,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SCR13,12. 3. 4 シリアル通信動作設定レジスタmn（SCRmn）,図12－8シリアル通信動作設定レジスタmn（SCRmn）のフォーマット（1/2）,,,
SE1,12. 3. 10 シリアル・チャネル許可ステータス・レジスタm（SEm）,図12－14シリアル・チャネル許可ステータス・レジスタm（SEm）のフォーマット,,,
SE1L,12. 3. 10 シリアル・チャネル許可ステータス・レジスタm（SEm）,図12－14シリアル・チャネル許可ステータス・レジスタm（SEm）のフォーマット,,,
SS1,12. 3. 8 シリアル・チャネル開始レジスタm（SSm）,図12－12シリアル・チャネル開始レジスタm（SSm）のフォーマット,,,
SS1L,12. 3. 8 シリアル・チャネル開始レジスタm（SSm）,図12－12シリアル・チャネル開始レジスタm（SSm）のフォーマット,,,
ST1,12. 3. 9 シリアル・チャネル停止レジスタm（STm）,図12－13シリアル・チャネル停止レジスタm（STm）のフォーマット,,,
ST1L,12. 3. 9 シリアル・チャネル停止レジスタm（STm）,図12－13シリアル・チャネル停止レジスタm（STm）のフォーマット,,,
SPS1,12. 3. 2 シリアル・クロック選択レジスタm（SPSm）,図12－6シリアル・クロック選択レジスタm（SPSm）のフォーマット,,,
SPS1L,12. 3. 2 シリアル・クロック選択レジスタm（SPSm）,図12－6シリアル・クロック選択レジスタm（SPSm）のフォーマット,,,
SO1,12. 3. 12 シリアル出力レジスタm（SOm）,図12－16シリアル出力レジスタm（SOm）のフォーマット,,,
SOE1,12. 3. 11 シリアル出力許可レジスタm（SOEm）,図12－15シリアル出力許可レジスタm（SOEm）のフォーマット,,,
SOE1L,12. 3. 11 シリアル出力許可レジスタm（SOEm）,図12－15シリアル出力許可レジスタm（SOEm）のフォーマット,,,
SOL1,12. 3. 13 シリアル出力レベル・レジスタm（SOLm）,図12－17シリアル出力レベル・レジスタm（SOLm）のフォーマット,,,
SOL1L,12. 3. 13 シリアル出力レベル・レジスタm（SOLm）,図12－17シリアル出力レベル・レジスタm（SOLm）のフォーマット,,,
SSC1,12. 3. 14 シリアル・スタンバイ・コントロール・レジスタm（SSCm）,図12－19シリアル・スタンバイ・コントロール・レジスタm（SSCm）のフォーマット,,,
SSC1L,12. 3. 14 シリアル・スタンバイ・コントロール・レジスタm（SSCm）,図12－19シリアル・スタンバイ・コントロール・レジスタm（SSCm）のフォーマット,,,
TCR00,6. 2. 1 タイマ・カウンタ・レジスタmn（TCRmn）,図6－6タイマ・カウンタ・レジスタmn（TCRmn）のフォーマット,,,
TCR01,6. 2. 1 タイマ・カウンタ・レジスタmn（TCRmn）,図6－6タイマ・カウンタ・レジスタmn（TCRmn）のフォーマット,,,
TCR02,6. 2. 1 タイマ・カウンタ・レジスタmn（TCRmn）,図6－6タイマ・カウンタ・レジスタmn（TCRmn）のフォーマット,,,
TCR03,6. 2. 1 タイマ・カウンタ・レジスタmn（TCRmn）,図6－6タイマ・カウンタ・レジスタmn（TCRmn）のフォーマット,,,
